,MissionDate,CountryOfCitizenship,R-T,PULOC,DropLoc,AlienMasterIDCount,MissionIDCount,JuvenileCount,JuvPercent,NCCount,NCPercent
0,2016-01-05,CAMBODIA,R,KIWA,VDPP,2,1,False,0.0,0.0,0.0
1,2017-03-28,CAMBODIA,R,KAEX,VDPP,5,1,False,0.0,0.0,0.0
2,2017-04-18,CAMBODIA,R,KIWA,VDPP,8,1,False,0.0,0.0,0.0
3,2017-05-02,CAMBODIA,R,KIWA,VDPP,8,1,False,0.0,0.0,0.0
4,2017-05-15,CAMBODIA,R,KIWA,VDPP,7,1,False,0.0,0.0,0.0
5,2017-12-18,CAMBODIA,R,KELP,VDPP,9,1,False,0.0,0.0,0.0
6,2018-02-28,CAMBODIA,R,KIWA,VDPP,8,1,False,0.0,0.0,0.0
7,2018-04-03,CAMBODIA,R,KELP,VDPP,43,1,False,0.0,1.0,2.3255813953488373
8,2018-08-20,CAMBODIA,R,KELP,VDPP,30,1,False,0.0,0.0,0.0
