,2010-10-01,2011-10-01,2012-10-01,2013-10-01,2014-10-01,2015-10-01,2016-10-01,2017-10-01
10,,,0.00022729855665416524,,,,0.00017677214071062401,
11,,,0.06398454369814752,0.05982246236974141,0.08848864526233359,0.0781618224666143,0.0530316422131872,0.039748045178106
12,,,0.22707125809751108,0.00019297568506368199,,,,
13,,,0.0006818956699624957,0.00019297568506368199,,,,
14,,,,0.00019297568506368199,,,0.00017677214071062401,
16,0.0003892060197197717,0.00395778364116095,0.24445959768155473,0.3253570050173678,0.34827721221613156,0.3523173605655931,0.32826586529962876,0.2877932232841008
1A,0.08750648676699532,0.06845499853415421,0.01170587566768951,0.009455808568120417,0.004306969459671104,0.00039277297721916735,,
1B,,,0.0007955449482895784,0.0025086839058278657,0.001957713390759593,,,
1C,,,0.00011364927832708262,0.00019297568506368199,,,,
2A,,,0.002386634844868735,,,,0.00265158211065936,0.008036490008688097
3,,,0.009887487214456188,0.014473176379776149,0.022905246671887234,0.041633935585231735,0.03181898532791232,0.04300608166811468
5A,,,,,,,0.00017677214071062401,
5B,,,0.00011364927832708262,0.00019297568506368199,0.00039154267815191856,0.001178318931657502,0.0014141771256849921,0.0017376194613379669
5D,,,,,0.00019577133907595928,,,
5F,,,,0.00019297568506368199,,,,
8A,,,0.00034094783498124785,0.00019297568506368199,0.0005873140172278779,,0.011136644864769313,0.0006516072980017377
8B,,,0.022843504943743608,0.00019297568506368199,0.0009788566953797965,,0.020152024041011136,0.0026064291920069507
8C,,,0.19377201954767587,0.3226553454264763,0.3823414252153485,0.3032207384131972,0.3805904189499735,0.5139009556907037
8D,,,0.00022729855665416524,,,,,
8E,,,0.0010228435049437436,0.00038595137012736397,0.0033281127642913076,0.013747054202670856,0.015025631960403041,0.013249348392701999
8F,6.486766995329527e-05,,0.05807478122513922,0.19239675800849093,0.11296006264682851,0.040455616653574236,0.036415060986388546,0.03214596003475239
8G,,,0.00022729855665416524,0.0025086839058278657,0.023884103367267033,0.1476826394344069,0.08732543751104827,0.04322328410078193
8H,,,,,0.0007830853563038371,0.016496465043205028,0.028460314654410464,0.008688097306689836
8I,,,,,0.0005873140172278779,0.003927729772191673,0.0021212656885274883,0.0036924413553431797
9,,,0.013978861234231163,0.007333076032419915,0.0011746280344557558,0.00039277297721916735,0.00035354428142124803,0.00021720243266724586
all_others,0.9120394395433316,0.9275872178246849,0.14808500966018867,0.06155924353531455,0.006851996867658575,0.00039277297721916735,0.0007070885628424961,0.0013032145960034753
