calendar_year,monthly_mean_dropoff_flights,monthly_mean_dropoffs,monthly_mean_pickup_flights,monthly_mean_pickups
2010,1.0,2.0,4.0,218.33333333333334
2011,0.25,0.5,4.25,201.41666666666666
2012,0.5,1.0,4.166666666666667,162.5
2013,0.6666666666666666,0.75,2.6666666666666665,124.66666666666667
2014,0.8333333333333334,21.916666666666668,2.1666666666666665,92.91666666666667
2015,0.5833333333333334,8.0,1.75,63.25
2016,0.9166666666666666,7.25,2.1666666666666665,71.33333333333333
2017,1.3333333333333333,5.75,2.8333333333333335,115.25
2018,1.5833333333333333,9.083333333333334,4.083333333333333,127.25
