,MissionYear,R-T,air2_Country,air2_AirportName,AlienMasterID,MissionID
2,2010,T,USA,Phoenix-Mesa-Gateway Airport,17,4
1,2010,T,USA,Boeing Field King County International Airport,12,2
3,2010,T,USA,Abilene Regional Airport,4,1
0,2010,T,USA,Alexandria International Airport,1,1
8,2011,T,USA,Phoenix-Mesa-Gateway Airport,9,3
10,2011,T,USA,Valley International Airport,7,1
4,2011,T,USA,Alexandria International Airport,3,2
6,2011,T,USA,George Bush Intercontinental Houston Airport,2,1
7,2011,T,USA,McCarran International Airport,2,2
5,2011,T,USA,El Paso International Airport,1,1
9,2011,T,USA,San Diego International Airport,1,1
12,2012,T,USA,Alexandria International Airport,41,14
17,2012,T,USA,Phoenix-Mesa-Gateway Airport,7,4
19,2012,T,USA,Valley International Airport,6,4
14,2012,T,USA,El Paso International Airport,4,1
13,2012,T,USA,Boeing Field King County International Airport,3,2
15,2012,T,USA,Harrisburg International Airport,2,1
16,2012,T,USA,Miami International Airport,1,1
18,2012,T,USA,San Diego International Airport,1,1
21,2013,T,USA,Boeing Field King County International Airport,19,7
24,2013,T,USA,Phoenix-Mesa-Gateway Airport,19,8
20,2013,T,USA,Alexandria International Airport,17,11
23,2013,T,USA,Harrisburg International Airport,15,6
32,2013,T,USA,Newark Liberty International Airport,8,2
27,2013,T,USA,Denver International Airport,3,2
25,2013,T,USA,San Diego International Airport,2,1
26,2013,T,USA,Toledo Express Airport,2,1
28,2013,T,USA,Eppley Airfield,2,2
22,2013,T,USA,George Bush Intercontinental Houston Airport,1,1
29,2013,T,USA,Minneapolis-St Paul International/Wold-Chamberlain Airport,1,1
30,2013,T,USA,Chicago O'Hare International Airport,1,1
31,2013,T,USA,Hartsfield Jackson Atlanta International Airport,1,1
34,2014,T,USA,Alexandria International Airport,28,16
39,2014,T,USA,Phoenix-Mesa-Gateway Airport,14,8
36,2014,T,USA,Harrisburg International Airport,13,3
40,2014,T,USA,Denver International Airport,13,3
35,2014,T,USA,Boeing Field King County International Airport,11,5
43,2014,T,USA,Newark Liberty International Airport,9,1
44,2014,T,USA,Buffalo Niagara International Airport,6,3
38,2014,T,USA,Miami International Airport,4,3
37,2014,T,USA,Metropolitan Oakland International Airport,3,1
41,2014,T,USA,Minneapolis-St Paul International/Wold-Chamberlain Airport,2,2
42,2014,T,USA,Columbus Metropolitan Airport,1,1
45,2015,T,USA,Alexandria International Airport,80,17
49,2015,T,USA,Miami International Airport,70,12
48,2015,T,USA,Harrisburg International Airport,64,9
56,2015,T,USA,Columbus Metropolitan Airport,53,8
46,2015,T,USA,Boeing Field King County International Airport,42,9
53,2015,T,USA,Denver International Airport,22,7
50,2015,T,USA,Phoenix-Mesa-Gateway Airport,17,7
58,2015,T,USA,Buffalo Niagara International Airport,16,2
57,2015,T,USA,Newark Liberty International Airport,14,6
55,2015,T,USA,Minneapolis-St Paul International/Wold-Chamberlain Airport,13,1
54,2015,T,USA,Eppley Airfield,5,1
52,2015,T,USA,Toledo Express Airport,3,1
47,2015,T,USA,El Paso International Airport,1,1
51,2015,T,USA,San Antonio International Airport,1,1
59,2016,T,USA,Alexandria International Airport,70,26
70,2016,T,USA,Columbus Metropolitan Airport,48,13
74,2016,T,USA,Buffalo Niagara International Airport,45,12
61,2016,T,USA,Harrisburg International Airport,32,14
60,2016,T,USA,Boeing Field King County International Airport,27,12
73,2016,T,USA,Newark Liberty International Airport,20,9
64,2016,T,USA,Phoenix-Mesa-Gateway Airport,7,7
76,2016,T,USA,General Edward Lawrence Logan International Airport,6,2
75,2016,T,USA,Brownsville South Padre Island International Airport,5,5
77,2016,T,USA,Gary Chicago International Airport,5,3
81,2016,T,USA,Youngston Warren Regional Airport,5,1
63,2016,T,USA,Miami International Airport,4,3
65,2016,T,USA,San Antonio International Airport,4,1
67,2016,T,USA,Toledo Express Airport,3,1
69,2016,T,USA,Minneapolis-St Paul International/Wold-Chamberlain Airport,3,1
78,2016,T,USA,Richmond International Airport,3,2
68,2016,T,USA,Denver International Airport,2,2
80,2016,T,USA,Mid America St Louis/Scott AFB,2,2
62,2016,T,USA,McCarran International Airport,1,1
66,2016,T,USA,San Diego International Airport,1,1
71,2016,T,USA,Dallas Love Field,1,1
72,2016,T,USA,Hartsfield Jackson Atlanta International Airport,1,1
79,2016,T,USA,Southern California Logistics Airport,1,1
83,2017,T,USA,Alexandria International Airport,358,54
91,2017,T,USA,Phoenix-Mesa-Gateway Airport,72,17
92,2017,T,USA,San Antonio International Airport,17,2
96,2017,T,USA,Minneapolis-St Paul International/Wold-Chamberlain Airport,16,3
87,2017,T,USA,Harrisburg International Airport,13,6
101,2017,T,USA,Brownsville South Padre Island International Airport,9,5
100,2017,T,USA,Buffalo Niagara International Airport,8,1
84,2017,T,USA,Boeing Field King County International Airport,6,4
95,2017,T,USA,Denver International Airport,6,6
94,2017,T,USA,Toledo Express Airport,5,1
102,2017,T,USA,Gary Chicago International Airport,5,4
88,2017,T,USA,Laredo International Airport,4,3
90,2017,T,USA,Miami International Airport,4,4
89,2017,T,USA,McCarran International Airport,3,2
93,2017,T,USA,San Diego International Airport,3,3
99,2017,T,USA,Newark Liberty International Airport,3,3
85,2017,T,USA,El Paso International Airport,1,1
86,2017,T,USA,George Bush Intercontinental Houston Airport,1,1
97,2017,T,USA,Columbus Metropolitan Airport,1,1
98,2017,T,USA,Jacksonville International Airport,1,1
106,2018,T,USA,El Paso International Airport,193,10
104,2018,T,USA,Alexandria International Airport,181,36
111,2018,T,USA,San Antonio International Airport,54,1
110,2018,T,USA,Phoenix-Mesa-Gateway Airport,52,18
115,2018,T,USA,Minneapolis-St Paul International/Wold-Chamberlain Airport,12,6
118,2018,T,USA,Jacksonville International Airport,6,2
107,2018,T,USA,Harrisburg International Airport,5,5
114,2018,T,USA,Denver International Airport,5,4
117,2018,T,USA,Columbus Metropolitan Airport,5,4
105,2018,T,USA,Boeing Field King County International Airport,4,4
108,2018,T,USA,Laredo International Airport,2,2
113,2018,T,USA,Toledo Express Airport,2,2
119,2018,T,USA,Brownsville South Padre Island International Airport,2,2
109,2018,T,USA,McCarran International Airport,1,1
112,2018,T,USA,San Diego International Airport,1,1
116,2018,T,USA,Chicago O'Hare International Airport,1,1
120,2018,T,USA,Portsmouth International Airport,1,1
