,2010-10-01,2011-10-01,2012-10-01,2013-10-01,2014-10-01,2015-10-01,2016-10-01,2017-10-01,2018-10-01
1A,22489.0,22104.0,9738.0,513.0,264.0,36.0,23.0,27.0,7.0
1B,,,112.0,93.0,72.0,1.0,1.0,4.0,1.0
1C,,,3.0,5.0,,,,,
2A,,,994.0,234.0,301.0,106.0,217.0,325.0,47.0
2B,,,15.0,13.0,11.0,15.0,24.0,15.0,3.0
3,1149.0,555.0,1281.0,1737.0,2645.0,3354.0,4033.0,4953.0,865.0
5A,,,2.0,4.0,3.0,,2.0,2.0,1.0
5B,,,68.0,241.0,141.0,65.0,133.0,137.0,12.0
5C,,,1.0,4.0,4.0,1.0,2.0,3.0,1.0
5D,,,16.0,18.0,8.0,4.0,19.0,17.0,4.0
5E,,,1.0,1.0,4.0,,8.0,13.0,5.0
5F,,,6.0,5.0,2.0,2.0,12.0,28.0,2.0
8A,,,61.0,202.0,134.0,169.0,338.0,464.0,121.0
8B,,,419.0,245.0,370.0,444.0,1075.0,1286.0,241.0
8C,,,10497.0,16409.0,15302.0,15286.0,23502.0,30256.0,5592.0
8D,,,10.0,13.0,22.0,26.0,42.0,59.0,18.0
8E,,,116.0,375.0,472.0,626.0,988.0,1120.0,145.0
8F,9907.0,22081.0,52133.0,53947.0,32056.0,29940.0,26146.0,32839.0,6290.0
8G,1.0,,462.0,2556.0,4049.0,10335.0,13062.0,12492.0,2686.0
8H,,,9.0,164.0,61.0,246.0,1264.0,349.0,38.0
8I,,,5.0,33.0,80.0,128.0,214.0,276.0,45.0
9,,,1160.0,624.0,365.0,183.0,149.0,107.0,11.0
10,,,9.0,11.0,10.0,10.0,30.0,28.0,7.0
11,174.0,92.0,2298.0,3008.0,3832.0,3741.0,2913.0,2652.0,399.0
12,,,2855.0,72.0,41.0,14.0,28.0,25.0,3.0
13,,,8.0,1.0,,2.0,3.0,1.0,3.0
14,,,6.0,17.0,7.0,13.0,13.0,14.0,1.0
15,,,13.0,36.0,20.0,6.0,7.0,3.0,
16,6489.0,13772.0,45536.0,50626.0,40019.0,42121.0,41956.0,45714.0,8677.0
all_others,142598.0,147350.0,61427.0,35145.0,8260.0,8.0,25.0,80.0,7.0
AlienMasterID,182807.0,205954.0,189261.0,166352.0,108555.0,106882.0,116231.0,133289.0,25232.0
